BELLEAR ENGLISH
REGISTRO OFICIAL DE JORNADA

Empleado: admin
Generado: 01/03/2026 21:29

Fecha;Entrada;Salida;Horas
18/02/2026;14:35;18:36;4.0
19/02/2026;15:05;19:05;4.0
27/02/2026;16:18;20:17;4.0
27/02/2026;20:24;20:24;0.0
27/02/2026;20:42;20:44;0.04

;;TOTAL;12.04 horas
